ABREVIATURA,ESTACION,DESCRIPCION,NORTE,ESTE,LOCALIDAD
L2E-SM2,SAN MIGUELITO,CRUCE DE SAN MIGUELITO,9.030507,-79.505396,CRUCE ENTRE AVE. SIMON BOLIVAR Y LA AVE. DOMINGO DIAZ
L2E-PAR,PARAISO,BARRIO PARAISO,9.029914,-79.498738,"AVE. DOMINGO DIAZ, FRENTE A LA ESTACION DE BOMBEROS DE PARAISO"
L2E-CIN,CINCUENTENARIO,CINCUENTENARIO,9.030203,-79.491392,"DOMINGO DIAZ, PROXIMO AL CRUCE DE AVE. CINCUENTENARIO"
L2E-VLU,VILLA LUCRE,VILLA LUCRE,9.037206,-79.481295,"AVE. DOMINGO DIAZ, FRENTE A PLAZA VILLA LUCRE"
L2E-ECR,EL CRISOL,BARRIADA EL CRISOL,9.043793,-79.47167,"AVE. DOMINGO DIAZ, FRENTE A LA BARRIADA EL CRISOL"
L2E-BGO,BRISAS DEL GOLF,ENTRADA RESIDENCIAL BRISAS DEL GOLF,9.0492,-79.458924,"AVE. DOMINGO DIAZ, ENTRADA A RESIDENCIAL BRISAS DEL GOLF"
L2E-CVI,CERRO VIENTO,BARRIADA CERRO VIENTO,9.050543,-79.451368,"VIA PANAMERICANA, FRENTE A LA BARRIADA CERRO VIENTO"
L2E-SAN,SAN ANTONIO,ENTRADA RESIDENCIAL SAN ANTONIO,9.051904,-79.444951,"AVE. DOMINGO DIAZ, ENTRADA A RESIDENCIAL SAN ANTONIO"
L2E-PED,PEDREGAL-LAS ACACIAS,FRENTE A ESTACION MIBUS,9.059848,-79.429287,"AVE. DOMINGO DIAZ, FRENTE A ESTACION MIBUS"
L2E-DBO,DON BOSCO,PLAZA COMERCIAL AEROPUERTO,9.063089,-79.420385,"AVE. DOMINGO DIAZ, FRENTE A PLAZA COMERCIAL AEROPUERTO"
L2E-CSU,CORREDOR SUR,ENTRADA CORREDOR SUR,9.068911,-79.407105,"AVE. DOMINGO DIAZ, Y ENTRADA AL CORREDOR SUR"
L2E-LMA,LAS MANANITAS,PLAZA COMERCIAL LAS AMERICAS,9.079466,-79.400097,VIA PANAMERICANA Y CRUCE DE MANANITAS
L2E-HES,HOSPITAL DEL ESTE,FRENTE A HOSPITAL DEL ESTE,9.093666,-79.394293,"VIA PANAMERICANA, FRENTE AL HOSPITAL DEL ESTE"
L2E-ATO,ALTOS DE TOCUMEN,BARRIO ALTOS DE TOCUMEN,9.103359,-79.380248,"VIA PANAMERICANA, FRENTE AL HOSPITAL DEL ESTE"
L2E-VDI,24 DE DICIEMBRE,CENTRO COMERCIAL LA DONA,9.103378598,-79.37085201,"VIA PANAMERICANA, FRENTE AL CENTRO COMERCIAL LA DONA"
L2E-NTO,NUEVO TOCUMEN,BARRIADA NUEVO TOCUMEN,9.101916783,-79.35342245,"VIA PANAMERICANA, FRENTE A LA BARRIADA NUEVO TOCUMEN"
