listing_url,listing_id,title,zone_raw,zone,zone_source,price_raw,price_usd,bedrooms,bathrooms,area_m2,operation,source,scraped_at
https://www.inmopanama.com/venta-de-apartamentos-en-proyecto-blau-costa-del-este_p-136121.htm,136121,VENTA DE APARTAMENTOS EN PROYECTO BLAU | COSTA DEL ESTE,Costa Del Este,Costa Del Este,zone_raw,"$1,149,737",1149737,3,3,340,venta,inmopanama.com,2026-07-01 11:10:38
https://www.inmopanama.com/costa-del-este-apartamento-en-venta_p-143141.htm,143141,Costa del Este Apartamento en Venta,Costa Del Este,Costa Del Este,zone_raw,"$950,000",950000,4,4,358,venta,inmopanama.com,2026-07-01 11:10:38
https://www.inmopanama.com/apartamento-en-venta-en-costa-del-este_p-143104.htm,143104,Apartamento en Venta en Costa del Este,Costa Del Este,Costa Del Este,zone_raw,"$610,000",610000,3,3,226,venta,inmopanama.com,2026-07-01 11:10:38
https://www.inmopanama.com/venta-de-apartamento-en-ph-madero-en-costa-del-este-panama_p-142791.htm,142791,"Venta de apartamento en PH Madero en Costa del Este, Panamá",Costa Del Este,Costa Del Este,zone_raw,"$662,053",662053,3,3,182,venta,inmopanama.com,2026-07-01 11:10:38
https://www.inmopanama.com/se-vende-apartamento-en-p-h-regalia-costa-del-este_p-142612.htm,142612,"Se Vende Apartamento en P.H. Regalia, Costa del Este",Costa Del Este,Costa Del Este,zone_raw,"$899,000",899000,3,3,293,venta,inmopanama.com,2026-07-01 11:10:38
https://www.inmopanama.com/se-vende-apartamento-en-costa-del-este-panama_p-142581.htm,142581,"Se vende apartamento en Costa del Este, Panamá",Costa Del Este,Costa Del Este,zone_raw,"$439,500",439500,3,3,184,venta,inmopanama.com,2026-07-01 11:10:38
https://www.inmopanama.com/se-vende-casa-en-costa-bay-costa-del-este_p-142580.htm,142580,"Se vende casa en Costa Bay, Costa del Este",Costa Del Este,Costa Del Este,zone_raw,"$1,300,000",1300000,5,5,980,venta,inmopanama.com,2026-07-01 11:10:39
https://www.inmopanama.com/se-vende-apartamento-en-costa-del-este-panama_p-142564.htm,142564,"Se vende apartamento en Costa del Este, Panamá",Costa Del Este,Costa Del Este,zone_raw,"$385,000",385000,3,2,168,venta,inmopanama.com,2026-07-01 11:10:39
https://www.inmopanama.com/venta-o-alquiler-de-apartamento-con-linea-blanca-en-costa-del-este_p-142814.htm,142814,Venta o Alquiler de Apartamento con Línea Blanca en Costa del Este,Costa Del Este,Costa Del Este,zone_raw,"$500,000",500000,3,3,234,alquiler,inmopanama.com,2026-07-01 11:10:39
https://www.inmopanama.com/venta-de-lujoso-apartamento-en-generation-tower-costa-del-este_p-142830.htm,142830,VENTA DE LUJOSO APARTAMENTO EN GENERATION TOWER  COSTA DEL ESTE,Costa Del Este,Costa Del Este,zone_raw,"$257,530",257530,1,1,53,venta,inmopanama.com,2026-07-01 11:10:39
https://www.inmopanama.com/venta-de-apartamentos-en-ph-madero-en-costa-del-este-panama_p-142863.htm,142863,"Venta de Apartamentos en PH Madero en Costa del Este, Panamá",Costa Del Este,Costa Del Este,zone_raw,"$818,601",818601,4,3,231,venta,inmopanama.com,2026-07-01 11:10:39
https://www.inmopanama.com/venta-de-apartamento-en-ph-madero-en-costa-del-este-panama_p-142864.htm,142864,"Venta de apartamento en PH Madero en Costa del Este, Panamá",Costa Del Este,Costa Del Este,zone_raw,"$645,618",645618,3,3,183,venta,inmopanama.com,2026-07-01 11:10:39
https://www.inmopanama.com/venta-de-apartamento-de-lujo-en-tagua-costa-del-este-panama_p-142865.htm,142865,"Venta de apartamento de Lujo en Tagua, Costa del Este, Panamá",Costa Del Este,Costa Del Este,zone_raw,"$1,469,218",1469218,4,4,546,venta,inmopanama.com,2026-07-01 11:10:39
https://www.inmopanama.com/venta-de-apartamento-de-lujo-en-ph-corotu-en-santa-maria-panama_p-142867.htm,142867,"Venta de Apartamento de Lujo en PH. Corotú en Santa María, Panamá",Costa Del Este,Costa Del Este,zone_raw,"$481,100",481100,2,2,141,venta,inmopanama.com,2026-07-01 11:10:39
https://www.inmopanama.com/venta-de-apartamento-de-lujo-en-ph-corotu-en-santa-maria-panama_p-142868.htm,142868,"Venta de Apartamento de Lujo en PH. Corotú en Santa María, Panamá",Costa Del Este,Costa Del Este,zone_raw,"$560,200",560200,3,3,159,venta,inmopanama.com,2026-07-01 11:10:39
https://www.inmopanama.com/venta-de-apartamento-linea-blanca-ph-bali-costa-del-este_p-142871.htm,142871,"Venta de apartamento Linea Blanca,Ph.Bali. Costa del Este",Costa Del Este,Costa Del Este,zone_raw,"$435,000",435000,3,3,169,venta,inmopanama.com,2026-07-01 11:10:39
https://www.inmopanama.com/venta-de-apartamentos-en-ph-nogal-costa-del-este_p-142880.htm,142880,"Venta de Apartamentos en PH Nogal, Costa del Este",Costa Del Este,Costa Del Este,zone_raw,"$414,849",414849,2,2,121,venta,inmopanama.com,2026-07-01 11:10:39
https://www.inmopanama.com/venta-de-apartamento-full-amoblado-ph-mirador-costa-del-este-panama_p-142905.htm,142905,"Venta de Apartamento Full Amoblado PH Mirador, Costa del Este - Panamá",Costa Del Este,Costa Del Este,zone_raw,"$649,000",649000,3,3,200,venta,inmopanama.com,2026-07-01 11:10:39
