listing_id,modelo,completitud_informativa,calidad_presentacion,diferenciadores_amenidades,transparencia_precio,corregimiento,tipo_inmueble,price_usd,descripcion_fuente
143196,gemini-3.5-flash,4,3,4,1,Bella Vista,Apartamentos,200000,completa
143181,gemini-3.5-flash,4,5,4,1,Bella Vista,Apartamentos,550000,completa
143172,gemini-3.5-flash,5,5,5,2,Bella Vista,Apartamentos,448000,completa
143139,gemini-3.5-flash,1,2,1,1,Obarrio,Apartamentos,199000,preview
143472,gemini-3.5-flash,5,5,4,5,Bella Vista,Apartamentos,200000,completa
143468,gemini-3.5-flash,4,4,3,5,Obarrio,Apartamentos,297065,completa
143474,gemini-3.5-flash,5,5,4,5,Obarrio,Apartamentos,155000,completa
143473,gemini-3.5-flash,5,5,4,5,Bella Vista,Apartamentos,248000,completa
136390,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,189000,completa
136683,gemini-3.5-flash,5,5,5,1,Bella Vista,Apartamentos,375000,completa
137269,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,470000,completa
136394,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,210000,completa
136077,gemini-3.5-flash,4,5,4,1,Bella Vista,Apartamentos,387000,completa
139353,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,210000,completa
139984,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,382335,completa
139985,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,280800,completa
139986,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,237600,completa
139987,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,199800,completa
139991,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,185000,completa
140000,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,151305,completa
140001,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,156090,completa
140002,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,188265,completa
140025,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,448000,completa
140028,gemini-3.5-flash,5,5,4,5,Bella Vista,Apartamentos,448000,completa
140038,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,315950,completa
140039,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,231000,completa
140040,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,120000,completa
140041,gemini-3.5-flash,4,5,5,2,Bella Vista,Apartamentos,199500,completa
140042,gemini-3.5-flash,4,4,4,3,Bella Vista,Apartamentos,103000,completa
140043,gemini-3.5-flash,4,5,4,3,Bella Vista,Apartamentos,104500,completa
140075,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,260000,completa
140076,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,206500,completa
140077,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,175000,completa
140115,gemini-3.5-flash,5,4,5,5,Bella Vista,Apartamentos,365000,completa
140117,gemini-3.5-flash,5,4,5,5,Bella Vista,Apartamentos,315000,completa
140162,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,317222,completa
140163,gemini-3.5-flash,5,5,5,4,Bella Vista,Apartamentos,352806,completa
140164,gemini-3.1-flash-lite,5,5,5,5,Bella Vista,Apartamentos,200501,completa
140165,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,136721,completa
140172,gemini-3.5-flash,4,5,4,1,Bella Vista,Apartamentos,330000,completa
140173,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,450000,completa
140191,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,187800,completa
140192,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,174710,completa
140193,gemini-3.1-flash-lite,4,5,5,2,Bella Vista,Apartamentos,260720,completa
140194,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,154640,completa
140195,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,160000,completa
140196,gemini-3.1-flash-lite,4,5,5,2,Bella Vista,Apartamentos,149850,completa
140197,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,285590,completa
140198,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,296000,completa
140199,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,232910,completa
140200,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,214150,completa
140201,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,230800,completa
140202,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,244600,completa
140203,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,216790,completa
140204,gemini-3.5-flash,4,5,4,1,Bella Vista,Apartamentos,445000,completa
140205,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,380000,completa
140225,gemini-3.5-flash,4,5,5,2,Bella Vista,Apartamentos,430823,completa
140226,gemini-3.5-flash,4,5,5,2,Bella Vista,Apartamentos,178339,completa
140227,gemini-3.5-flash,4,5,5,2,Bella Vista,Apartamentos,181304,completa
140228,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,239625,completa
140229,gemini-3.5-flash,4,5,5,2,Bella Vista,Apartamentos,181717,completa
140230,gemini-3.5-flash,4,5,5,2,Bella Vista,Apartamentos,244160,completa
140339,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,470000,completa
141246,gemini-3.5-flash,5,5,4,5,Bella Vista,Apartamentos,315950,completa
141247,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,231000,completa
141248,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,120000,completa
141249,gemini-3.1-flash-lite,5,5,4,5,Bella Vista,Apartamentos,199500,completa
141250,gemini-3.5-flash,4,4,4,3,Bella Vista,Apartamentos,106500,completa
141251,gemini-3.1-flash-lite,5,5,5,5,Bella Vista,Apartamentos,104500,completa
141281,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,260000,completa
141282,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,206500,completa
141283,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,175000,completa
141324,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,365000,completa
141373,gemini-3.5-flash,5,4,5,5,Bella Vista,Apartamentos,320629,completa
141374,gemini-3.5-flash,5,5,5,4,Bella Vista,Apartamentos,382218,completa
141375,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,217419,completa
141376,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,144539,completa
141383,gemini-3.5-flash,4,4,5,1,Bella Vista,Apartamentos,330000,completa
141384,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,450000,completa
141402,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,187800,completa
141403,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,174710,completa
141404,gemini-3.5-flash,4,5,5,2,Bella Vista,Apartamentos,260720,completa
141405,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,154640,completa
141406,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,160000,completa
141407,gemini-3.5-flash,5,5,5,1,Bella Vista,Apartamentos,149850,completa
141408,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,285590,completa
141409,gemini-3.1-flash-lite,4,5,5,2,Bella Vista,Apartamentos,296000,completa
141410,gemini-3.1-flash-lite,4,5,5,2,Bella Vista,Apartamentos,232910,completa
141411,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,214150,completa
141412,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,230800,completa
141413,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,244600,completa
141414,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,216790,completa
141415,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,445000,completa
141436,gemini-3.5-flash,4,5,5,1,Bella Vista,Apartamentos,430823,completa
141437,gemini-3.5-flash,4,5,5,2,Bella Vista,Apartamentos,178339,completa
141438,gemini-3.5-flash,4,5,5,2,Bella Vista,Apartamentos,181304,completa
141439,gemini-3.5-flash,4,5,5,2,Bella Vista,Apartamentos,239625,completa
141440,gemini-3.5-flash,4,5,5,2,Bella Vista,Apartamentos,181717,completa
141441,gemini-3.5-flash,4,5,5,2,Bella Vista,Apartamentos,244160,completa
141552,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,470000,completa
136685,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,146745,completa
136780,gemini-3.5-flash,5,5,5,5,zona_no_determinada,Apartamentos,440000,completa
136517,gemini-3.5-flash,5,5,5,5,El Cangrejo,Apartamentos,193058,completa
136317,gemini-3.5-flash,4,5,4,5,zona_no_determinada,Apartamentos,315000,completa
136505,gemini-3.5-flash,5,5,5,5,El Cangrejo,Apartamentos,225000,completa
135942,gemini-3.5-flash,5,5,5,5,zona_no_determinada,Apartamentos,1350000,completa
136027,gemini-3.5-flash,5,5,5,5,Obarrio,Apartamentos,314550,completa
139338,gemini-3.5-flash,5,5,5,5,Obarrio,Apartamentos,467900,completa
139339,gemini-3.5-flash,5,5,5,5,Obarrio,Apartamentos,642725,completa
143394,gemini-3.5-flash,5,4,5,5,zona_no_determinada,Apartamentos,161355,completa
139356,gemini-3.5-flash,5,5,5,5,El Cangrejo,Apartamentos,211472,completa
139357,gemini-3.5-flash,5,5,5,5,El Cangrejo,Apartamentos,257923,completa
139358,gemini-3.5-flash,5,5,5,5,El Cangrejo,Apartamentos,308478,completa
136783,gemini-3.1-flash-lite,4,5,3,1,zona_no_determinada,Apartamentos,130000,completa
139364,gemini-3.5-flash,5,5,5,5,Bella Vista,Apartamentos,202574,completa
143401,gemini-3.5-flash,5,4,5,5,zona_no_determinada,Apartamentos,161355,completa
143400,gemini-3.5-flash,5,4,4,5,zona_no_determinada,Apartamentos,224840,completa
143399,gemini-3.5-flash,5,4,5,5,zona_no_determinada,Apartamentos,254240,completa
143392,gemini-3.5-flash,5,4,5,5,zona_no_determinada,Apartamentos,254240,completa
